Nom,Adresse,Ville,Metier_normalise,Heures_ouverture,Nombre_avis,Note,Jours_fermeture,Date_introduction,Date_verification,Filtré,Actif
1860 Le Palais,"9 La Canebière Vieux Port, 13001 Marseille, France",Marseille,Restaurant,lundi: 09:00 – 22:30; mardi: 09:00 – 22:30; mercredi: 09:00 – 22:30; jeudi: 09:00 – 22:30; vendredi: 09:00 – 22:30; samedi: 09:00 – 22:30; dimanche: 09:00 – 23:30,1675,4.4,0,2025-10-22,2025-10-24,Non,Oui
AADD (Plombier Marseille Urgence),"93 Rue d'Alger, 13005 Marseille, France",Marseille,Plombier,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,147,4.3,6,2025-10-22,2025-10-24,Non,Oui
Alexi's Barber Shop,"77 Rue Sermorens, 38500 Voiron, France",Voiron,Coiffeur_Barbier,"lundi: Fermé; mardi: 09:00 – 12:00, 14:00 – 19:00; mercredi: 09:00 – 12:00, 14:00 – 19:00; jeudi: 09:00 – 12:00, 14:00 – 19:00; vendredi: 09:00 – 19:00; samedi: 09:00 – 17:00; dimanche: Fermé",40,4.9,2,2025-10-22,2025-10-24,Non,Oui
Alpha Plomberie,"58 Chem. des Campanules, 13012 Marseille, France",Marseille,Plombier,,,,,2025-10-22,2025-10-22,Non,Oui
Alpp Plomberie Chauffage,"430 Rte de Palluel, 38340 Voreppe, France",Voreppe,Plombier,lundi: 07:00 – 19:00; mardi: 07:00 – 19:00; mercredi: 07:00 – 19:00; jeudi: 07:00 – 19:00; vendredi: 07:00 – 19:00; samedi: Fermé; dimanche: Fermé,21,4.8,2,2025-10-22,2025-10-24,Non,Oui
AMS Plomberie,"Résidence Valmante, 151 Trav. de la Gouffonne, 13009 Marseille, France",Marseille,Plombier,lundi: Ouvert 24h/24; mardi: Ouvert 24h/24; mercredi: Ouvert 24h/24; jeudi: Ouvert 24h/24; vendredi: Ouvert 24h/24; samedi: Ouvert 24h/24; dimanche: Ouvert 24h/24,179,4.9,6,2025-10-22,2025-10-24,Non,Oui
Aprium Pharmacie Grand Prado,"100 Rue du Rouet, 13008 Marseille, France",Marseille,Pharmacien,lundi: 08:00 – 20:00; mardi: 08:00 – 20:00; mercredi: 08:00 – 20:00; jeudi: 08:00 – 20:00; vendredi: 08:00 – 20:00; samedi: 09:00 – 19:00; dimanche: 08:00 – 20:00,245,4.4,0,2025-10-22,2025-10-24,Non,Oui
Art'Coiffure,"39 Rue de la République, 38430 Moirans, France",Moirans,Coiffeur_Barbier,"lundi: Fermé; mardi: 09:00 – 12:00, 14:00 – 19:00; mercredi: 09:00 – 12:00; jeudi: 09:00 – 12:00, 14:00 – 19:00; vendredi: 09:00 – 18:30; samedi: 09:00 – 16:00; dimanche: Fermé",13,4.9,2,2025-10-22,2025-10-24,Non,Oui
Artisan Boulanger,"47 Rue Liandier, 13008 Marseille, France",Marseille,Boulanger_Patissier,"lundi: 07:00 – 14:00, 16:00 – 19:00; mardi: 07:00 – 14:00, 16:00 – 19:00; mercredi: 07:00 – 14:00, 16:00 – 19:00; jeudi: 07:00 – 14:00, 16:00 – 19:00; vendredi: 07:00 – 14:00, 16:00 – 19:00; samedi: Fermé; dimanche: 07:30 – 13:30",2,4.5,1,2025-10-22,2025-10-24,Non,Oui
"Artisan Boulanger Pâtissier ""Au Pain d'Autrefois""","143 Rue Paradis, 13006 Marseille, France",Marseille,Boulanger_Patissier,lundi: 07:00 – 20:00; mardi: 07:00 – 20:00; mercredi: 07:00 – 20:00; jeudi: 07:00 – 20:00; vendredi: 07:00 – 20:00; samedi: 07:00 – 14:00; dimanche: Fermé,160,4.4,1,2025-10-22,2025-10-24,Non,Oui
